 Message (if any),رسالة (اختياري)
{0} from {1} to {2},{0} من {1} إلى {2}
{0} from {1} to {2} in row #{3},{0} من {1} إلى {2} في الصف #{3}
{0} gained {1} point for {2} {3},{0} حصل على {1} نقطة لـ {2} {3}
{0} gained {1} point for {2} {3},{0} حصل على {1} نقطة لـ {2} {3}
{0} gained {1} points,{0} gained {1} points
{0} gained {1} points,{0} gained {1} points
{0} gained {1} points for {2} {3},{0} حصل على {1} نقاط لـ {2} {3}
{0} gained {1} points for {2} {3},{0} حصل على {1} نقاط لـ {2} {3}
{0} gave {1} points,{0} gave {1} points
{0} gave {1} points,{0} gave {1} points
{0} Google Calendar Events synced.,{0} تمت مزامنة أحداث تقويم Google.
{0} Google Contacts synced.,{0} مزامنة جهات اتصال Google.
{0} h,{0} ح
{0} has {1} enabled,{0} لديه {1} ممكّن
{0} has already assigned default value for {1}.,{0} قام بالفعل بتعيين القيمة الافتراضية لـ {1}.
{0} has appointment scheduled with {1} at {2} having {3} minute(s) duration.,تمت جدولة موعد {0} مع {1} في {2} وبمدة {3} دقيقة.
{0} has been modified after you pulled it. Please pull it again.,{0} has been modified after you pulled it. Please pull it again.
{0} has been modified after you pulled it. Please pull it again.,{0} has been modified after you pulled it. Please pull it again.
{0} has been submitted successfully,{0} تم التقديم بنجاح
{0} has been successfully added to the Email Group.,{0}  تم بنجاح الإضافة إلى مجموعة البريد الإلكتروني
{0} has fee validity till {1},{0} له صلاحية الرسوم حتى {1}
{0} has left the conversation in {1} {2},{0} تركت محادثة في {1} {2}
{0} has no versions tracked.,{0} لا يحتوي على إصدارات متعقبة.
{0} has no versions tracked.,{0} لا يحتوي على إصدارات متعقبة.
{0} has Payment Term based allocation enabled. Select a Payment Term for Row #{1} in Payment References section,{0} لديه تخصيص قائم على شرط الدفع ممكّن. حدد شرط دفع للصف رقم {1} في قسم مراجع الدفع
{0} hours,{0} ساعات
{0} hours ago,{0} قبل ساعات
{0} if you are not redirected within {1} seconds,{0} إذا لم يتم إعادة توجيهك خلال {1} ثانية
{0} in row {1},{0} في الحقل {1}
{0} in row {1} cannot have both URL and child items,{0} في الصف {1} لا يمكن أن يكون لها عنوان URL وبنود فرعية في نفس الوقت
{0} invoice - {1} outstanding,{0} فاتورة - {1} مستحق
{0} invoice(s) failed to sync,فشلت مزامنة {0} فاتورة
{0} invoice(s) synced successfully,تمت مزامنة {0} فاتورة بنجاح
{0} invoices,{0} فواتير
{0} invoices - {1} outstanding,{0} فواتير - {1} مستحق
"{0} is a mandatory Accounting Dimension. , Please set a value for {0} in Accounting Dimensions section.","{0} هو بُعد محاسبي إلزامي. , يرجى تعيين قيمة لـ {0} في قسم الأبعاد المحاسبية."
{0} is a mandatory Accounting Dimension. <br>Please set a value for {0} in Accounting Dimensions section.,{0} هو بُعد محاسبي إلزامي. <br>يرجى تعيين قيمة لـ {0} في قسم الأبعاد المحاسبية.
{0} is a mandatory field,{0} حقل إلزامي
{0} is a mandatory field.,{0} is a mandatory field.
{0} is a mandatory field.,{0} حقل إلزامي.
{0} is a not a valid zip file,{0} ليس ملف zip صالحًا
{0} is added multiple times on rows: {1},{0} تمت إضافته عدة مرات في السطور: {1}
{0} is already running for {1},{0} قيد التشغيل بالفعل لـ {1}
{0} is an invalid Data field.,{0} هو حقل بيانات غير صالح.
{0} is an invalid email address in 'Recipients',{0} هو عنوان بريد إلكتروني غير صالح في &quot;المستلمين&quot;
{0} is between {1} and {2},{0} بين {1} و {2}
{0} is blocked so this transaction cannot proceed,تم حظر {0} حتى لا تتم متابعة هذه المعاملة
{0} is currently {1},{0} حاليًا {1}
{0} is equal to {1},{0} يساوي {1}
{0} is greater than {1},{0} أكبر من {1}
{0} is greater than or equal to {1},{0} أكبر من أو يساوي {1}
{0} is less than {1},{0} أصغر من {1}
{0} is less than or equal to {1},{0} أصغر من أو يساوي {1}
{0} is like {1},{0} يشبه {1}
{0} is mandatory,{0} إلزامي
{0} is mandatory for account {1},{0} إلزامي للحساب {1}
{0} is mandatory for Item {1},{0} إلزامي للصنف {1}\n<br>\n{0} is mandatory for Item {1}
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} إلزامي. ربما لم يتم إنشاء سجل صرف العملات من {1} إلى {2}
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} إلزامي. ربما لم يتم إنشاء سجل سعر صرف العملة ل{1} إلى {2}.
{0} is not a company bank account,{0} ليس حسابًا مصرفيًا للشركة
{0} is not a field of doctype {1},{0} ليس حقلاً من نوع المستند {1}
{0} is not a group node. Please select a group node as parent cost center,{0} ليست عقدة مجموعة. يرجى تحديد عقدة المجموعة كمركز تكلفة الأصل
{0} is not a holiday.,{0} ليس يوم عطلة.
{0} is not a raw printing format.,{0} ليس تنسيق طباعة خامًا.
{0} is not a stock Item,{0} ليس من نوع المخزون
{0} is not a valid Batch Number for Item {1},{0} ليس رقما صالحا للبند {1}\n<br>\n{0} is not a valid Batch Number for Item {1}
{0} is not a valid Calendar. Redirecting to default Calendar.,{0} ليس تقويمًا صالحًا. يتم إعادة التوجيه إلى التقويم الافتراضي.
{0} is not a valid Cron expression.,{0} ليس تعبير Cron صالحًا.
{0} is not a valid DocType for Dynamic Link,{0} ليس نوع DocType صالحًا للارتباط الديناميكي
{0} is not a valid Email Address,{0} بريد الكتروني غير صالح<br>{0} is not a valid Email Address
{0} is not a valid ISO 3166 ALPHA-2 code.,{0} ليس رمز ISO 3166 ALPHA-2 صالحًا.
{0} is not a valid Name,{0} ليس اسمًا صالحًا
{0} is not a valid parent DocType for {1},{0} ليس نوع مستند أصل صالحًا لـ {1}
{0} is not a valid parentfield for {1},{0} ليس حقل أصل صالحًا لـ {1}
{0} is not a valid Phone Number,{0} ليس رقم هاتف صالحًا
{0} is not a valid report format. Report format should one of the following {1},{0} ليس تنسيق تقرير صالحًا. يجب أن يكون تنسيق التقرير مما يلي {1}
{0} is not a valid state! Check for typos or enter the ISO code for your state.,{0} ليست حالة صالحة! تحقق من وجود أخطاء إملائية أو أدخل رمز ISO لولايتك.
{0} is not a valid Value for Attribute {1} of Item {2}.,{0} ليست قيمة صالحة للسمة {1} للعنصر {2}.
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} ليست حالة سير عمل صالحة. يرجى تحديث سير العمل والمحاولة مرة أخرى.
{0} is not a zip file,{0} ليس ملف zip
{0} is not added in the table,{0} لم تتم إضافته في الجدول
{0} is not allowed to submit Interview Feedback for the Interview: {1},غير مسموح لـ {0} بتقديم ملاحظات المقابلة للمقابلة: {1}
{0} is not an allowed role for {1},{0} is not an allowed role for {1}
{0} is not an allowed role for {1},{0} is not an allowed role for {1}
{0} is not enabled in {1},{0} غير ممكّن في {1}
{0} is not equal to {1},{0} لا يساوي {1}
{0} is not in a valid Payroll Period,{0} ليس في فترة رواتب صالحة
{0} is not in Optional Holiday List,{0} ليس في قائمة عطلات اختيارية
{0} is not like {1},{0} لا يشبه {1}
{0} is not one of {1},{0} ليس واحدًا من {1}
{0} is not running. Cannot trigger events for this Document,{0} لا يعمل. لا يمكن تشغيل الأحداث لهذا المستند
{0} is not set,{0} غير معين
{0} is not the default supplier for any items.,{0} ليس المورد الافتراضي لأية عناصر.
{0} is now default print format for {1} doctype,{0} هو الآن تنسيق الطباعة الافتراضي لنوع المستند {1}
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} هو الآن السنه المالية الافتراضية. الرجاء تحديث المستعرض لكي يسري مفعول التغيير.\n<br>\n{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.
{0} is on a Half day Leave on {1},{0} في إجازة لمدة نصف يوم في {1}
{0} is on hold till {1},{0} معلق حتى {1}
{0} is on Leave on {1},{0} في إجازة في {1}
{0} is one of {1},{0} واحد من {1}
{0} is required,{0} مطلوب
{0} is set,{0} معين
{0} is still in Draft. Please submit it before saving the Asset Repair.,{0} is still in Draft. Please submit it before saving the Asset Repair.
{0} is still in Draft. Please submit it before saving the Asset Repair.,{0} is still in Draft. Please submit it before saving the Asset Repair.
{0} is still in Draft. Please submit it before saving the Asset.,{0} is still in Draft. Please submit it before saving the Asset.
{0} is still in Draft. Please submit it before saving the Asset.,{0} is still in Draft. Please submit it before saving the Asset.
{0} is within {1},{0} ضمن {1}
{0} item found.,تم العثور على {0} عنصر.
{0} item(s),{0} منتج(منتجات)
{0} item(s) selected,تم اختيار {0} منتج(منتجات)
{0} items,{0} منتجات
{0} items found,تم العثور على {0} منتج
{0} items found.,تم العثور على {0} عنصر.
{0} items in progress,{0} العنصر قيد الأستخدام
{0} items lost during process.,تم فقدان {0} صنف أثناء العملية.
{0} items produced,{0} عناصر منتجة
{0} items selected,{0} العناصر المحددة
{0} just impersonated as you. They gave this reason: {1},انتحل {0} شخصيتك للتو. قدموا هذا السبب: {1}
{0} last edited this,آخر من عدل هذا هو {0}
{0} leaves allocated successfully,تم تخصيص {0} إجازات بنجاح
{0} leaves from allocation for {1} leave type have expired and will be processed during the next scheduled job. It is recommended to expire them now before creating new leave policy assignments.,انتهت صلاحية {0} إجازات من التخصيص لنوع الإجازة {1} وسيتم معالجتها خلال المهمة المجدولة التالية. يوصى بإنهاء صلاحيتها الآن قبل إنشاء تعيينات سياسة إجازة جديدة.
{0} leaves were manually allocated by {1} on {2},تم تخصيص {0} إجازات يدويًا بواسطة {1} في {2}
{0} Liked,{0} أعجب
{0} List,قائمة {0}
{0} logged in,{0} تم تسجيل الدخول
{0} logged out: {1},{0} تسجيل الخروج: {1}
{0} m,{0} م
{0} M,{0} م
{0} Map,خريطة {0}
{0} medication order completed,اكتمل طلب الدواء {0}
{0} medication orders completed,تم إكمال {0} من طلبات الأدوية
{0} mentioned you in a comment in {1} {2},{0} ذكرتك في تعليق في {1} {2}
{0} minutes ago,قبل {0} دقائق
{0} Missing,{0} مفقود
{0} Modules,{0} وحدات
{0} Modules,{0} وحدات
{0} months ago,قبل {0} أشهر
